hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,0,0
2,13,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,90.91204540653565,7,,0,1
3,16,1213.0317116559672,110.21084383943074,79.0,79.0,79.0,12929,0.0,4,-72.5,0,2
4,17,1340.585335510458,110.1985071145323,79.0,79.0,79.0,12861,0.0,4,-72.5,0,3
5,18,1468.4919524142758,110.20814866651116,79.0,79.0,79.0,12861,0.0,4,-72.5,0,4
6,19,1596.059392158379,110.20887789034104,68.0,68.0,68.0,12931,0.0,5,-68.5,0,5
7,21,1723.613901415021,110.19203856320945,68.0,68.0,68.0,12862,0.0,5,-68.5,0,6
8,22,1851.508319079459,110.20230135282226,68.0,68.0,68.0,12862,0.0,5,-68.5,0,7
9,23,1979.0790348774262,110.2082592220246,68.0,68.0,68.0,12931,0.0,5,-68.5,0,8
10,26,2106.9657438911227,110.20337148159604,68.0,68.0,68.0,12932,0.0,5,-68.5,0,9
11,28,2234.520758824444,110.20307883688385,68.0,68.0,68.0,12862,0.0,5,-68.5,0,10
12,29,2362.0934962493234,110.21552857474286,79.0,79.0,79.0,12931,0.0,4,-72.5,0,11
13,30,2489.97965970611,110.21562258313999,79.0,79.0,79.0,12930,0.0,4,-72.5,0,12
14,32,2617.548176374524,110.21183606812349,79.0,79.0,79.0,12859,0.0,4,-72.5,0,13
15,33,2745.4494364554994,110.2232413525068,79.0,79.0,79.0,12865,0.0,4,-72.5,0,14
16,34,3000.3504843084074,110.17086400619915,107.0,107.0,107.0,12905,0.0,2,-82.5,0,15
17,38,3128.465282637431,110.20744887644818,107.0,107.0,107.0,12861,0.0,2,-82.5,0,16
18,40,3256.0292343387473,110.21484918793503,107.0,107.0,107.0,12930,0.0,2,-82.5,0,17
19,42,3383.5886149778366,110.21541332918578,107.0,107.0,107.0,12859,0.0,2,-82.5,0,18
20,43,3511.496190920398,110.2188277363184,107.0,107.0,107.0,12864,0.0,2,-82.5,0,19
21,45,3639.0532910511256,110.21687678861474,121.0,121.0,121.0,12929,0.0,1,-87.5,0,20
22,47,3766.937504834094,110.21587129708408,121.0,121.0,121.0,12929,0.0,1,-87.5,0,21
23,60,383.0501547987616,220.8499226006192,227.0,248.0,0.0,12920,0.0,8,-57.5,2,0
24,61,510.6133426747626,220.8632259068971,227.0,248.0,0.0,12846,0.0,8,-57.5,2,1
25,62,638.5054876624893,220.8645598194131,227.0,248.0,0.0,12847,0.0,8,-57.5,2,2
26,63,766.0699798730453,220.8525313516024,227.0,248.0,0.0,12918,0.0,8,-57.5,2,3
27,64,1148.9625,220.99650621118013,79.0,79.0,79.0,12880,0.0,4,-72.5,2,4
28,65,1276.957097251421,221.1522230008565,79.0,79.0,79.0,12843,0.0,4,-72.5,2,5
29,66,1404.5196554424433,221.17376664056383,79.0,79.0,79.0,12770,0.0,4,-72.5,2,6
30,67,1532.373357321652,221.18085106382978,68.0,68.0,68.0,12784,0.0,5,-68.5,2,7
31,68,1659.9725878046881,221.1531033408613,68.0,68.0,68.0,12841,0.0,5,-68.5,2,8
32,69,1787.537509788567,221.17470634299139,68.0,68.0,68.0,12770,0.0,5,-68.5,2,9
33,70,1915.4343979959292,221.15570690465006,68.0,68.0,68.0,12774,0.0,5,-68.5,2,10
34,71,2042.9949380889338,221.16229265633518,68.0,68.0,68.0,12841,0.0,5,-68.5,2,11
35,72,2170.5609240407202,221.17415818324199,68.0,68.0,68.0,12770,0.0,5,-68.5,2,12
36,73,2298.4802096370463,221.123513767209,68.0,68.0,68.0,12784,0.0,5,-68.5,2,13
37,74,2426.0161968540724,221.15044385609718,79.0,79.0,79.0,12842,0.0,4,-72.5,2,14
38,75,2553.5757575757575,221.15879727507635,79.0,79.0,79.0,12771,0.0,4,-72.5,2,15
39,76,2681.470404008769,221.16324772940808,79.0,79.0,79.0,12772,0.0,4,-72.5,2,16
40,77,2809.1511600838053,220.95251028167922,93.0,93.0,93.0,12887,0.0,3,-77.5,2,17
41,78,2936.838549351557,220.99137997980895,107.0,107.0,107.0,12877,0.0,2,-82.5,2,18
42,79,3064.48946997573,221.16566194316135,107.0,107.0,107.0,12773,0.0,2,-82.5,2,19
43,80,3192.0510084884354,221.14726267424655,107.0,107.0,107.0,12841,0.0,2,-82.5,2,20
44,81,3319.9498520479674,221.1495872916991,107.0,107.0,107.0,12842,0.0,2,-82.5,2,21
45,82,3447.5171846864478,221.1860173804118,107.0,107.0,107.0,12773,0.0,2,-82.5,2,22
46,83,3575.4067809881763,221.15965860151906,121.0,121.0,121.0,12771,0.0,1,-87.5,2,23
47,84,3702.9665135114087,221.1457051631493,121.0,121.0,121.0,12841,0.0,1,-87.5,2,24
48,85,3830.9802187572727,220.973392289194,121.0,121.0,121.0,12891,0.0,1,-87.5,2,25
